"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42354-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","57.95757501775568","33","12000","SA@MIL","MIL","SA","","","","",""
"42354-84669","PG","Luka","Luka Doncic","Doncic","53.65333251953125","30","10900","CHA@DAL","DAL","CHA","","","","",""
"42354-15557","C","Andre","Andre Drummond","Drummond","48.34848484848485","33","9700","DET@GS","DET","GS","","","","",""
"42354-14513","PF","Kawhi","Kawhi Leonard","Leonard","45.992594401041664","27","9300","MEM@LAC","LAC","MEM","","","","",""
"42354-84671","PG","Trae","Trae Young","Young","45.229031470514116","31","9000","IND@ATL","ATL","IND","","","","",""
"42354-55062","C","Nikola","Nikola Jokic","Jokic","41.567648494944855","34","8900","DEN@WAS","DEN","WAS","","","","",""
"42354-40203","C","Rudy","Rudy Gobert","Gobert","39.84687423706055","32","8800","UTA@ORL","UTA","ORL","","","","",""
"42354-60021","SF","Pascal","Pascal Siakam","Siakam","43.21851942274306","27","8700","TOR@BKN","TOR","BKN","O","Groin","","",""
"42354-15595","SG","Bradley","Bradley Beal","Beal","44.332259639616936","31","8600","DEN@WAS","WAS","DEN","O","Leg","","",""
"42354-66048","SF","Brandon","Brandon Ingram","Ingram","41.8","30","8500","NO@SAC","NO","SAC","","","","",""
"42354-12341","SF","Paul","Paul George","George","38.64800048828125","25","8400","MEM@LAC","LAC","MEM","GTD","Hamstring","","",""
"42354-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","37.151611328125","31","8400","CHA@DAL","DAL","CHA","O","Knee","","",""
"42354-14498","PG","Kyrie","Kyrie Irving","Irving","48.29999889026988","11","8400","TOR@BKN","BKN","TOR","O","Shoulder","","",""
"42354-58312","SG","D'Angelo","D'Angelo Russell","Russell","36.96818126331676","22","8400","DET@GS","GS","DET","O","Shoulder","","",""
"42354-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","38.75483949722782","31","8400","SA@MIL","SA","MIL","","","","",""
"42354-9663","SG","Jrue","Jrue Holiday","Holiday","39.91875076293945","32","8300","NO@SAC","NO","SAC","","","","",""
"42354-59358","PF","Domantas","Domantas Sabonis","Sabonis","41.19999926017992","33","8300","IND@ATL","IND","ATL","","","","",""
"42354-14514","C","Nikola","Nikola Vucevic","Vucevic","40.89166768391927","24","8200","UTA@ORL","ORL","UTA","","","","",""
"42354-15542","PG","Spencer","Spencer Dinwiddie","Dinwiddie","36.53030303030303","33","8200","TOR@BKN","BKN","TOR","","","","",""
"42354-80808","PF","Jayson","Jayson Tatum","Tatum","38.23225648941532","31","8100","BOS@CHI","BOS","CHI","","","","",""
"42354-14507","PG","Kemba","Kemba Walker","Walker","37.33000081380208","30","8000","BOS@CHI","BOS","CHI","O","Illness","","",""
"42354-9535","PG","Kyle","Kyle Lowry","Lowry","39.074999491373696","24","7900","TOR@BKN","TOR","BKN","","","","",""
"42354-40783","SG","Zach","Zach LaVine","LaVine","36.59142717633929","35","7900","BOS@CHI","CHI","BOS","GTD","Ankle","","",""
"42354-84680","SG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","33.55588307100184","34","7800","OKC@CLE","OKC","CLE","","","","",""
"42354-9714","SG","DeMar","DeMar DeRozan","DeRozan","36.609090169270836","33","7800","SA@MIL","SA","MIL","","","","",""
"42354-24247","SG","Fred","Fred VanVleet","VanVleet","37.0566650390625","30","7700","TOR@BKN","TOR","BKN","","","","",""
"42354-66236","PF","John","John Collins","Collins","40.03333197699653","9","7600","IND@ATL","ATL","IND","GTD","Back","","",""
"42354-66113","SG","Donovan","Donovan Mitchell","Mitchell","38.44117647058823","34","7500","UTA@ORL","UTA","ORL","","","","",""
"42354-84706","SG","Devonte'","Devonte' Graham","Graham","35.51081147065034","37","7400","CHA@DAL","CHA","DAL","","","","",""
"42354-67026","SF","Jaylen","Jaylen Brown","Brown","34.91428484235491","28","7400","BOS@CHI","BOS","CHI","","","","",""
"42354-80810","PG","De'Aaron","De'Aaron Fox","Fox","34.747059541590076","17","7300","NO@SAC","SAC","NO","","","","",""
"42354-16261","SG","Khris","Khris Middleton","Middleton","32.810344827586206","29","7200","SA@MIL","MIL","SA","","","","",""
"42354-9623","PG","Chris","Chris Paul","Paul","35.494119083180145","34","7200","OKC@CLE","OKC","CLE","","","","",""
"42354-9957","PF","Serge","Serge Ibaka","Ibaka","28.1560009765625","25","7100","TOR@BKN","TOR","BKN","","","","",""
"42354-15684","SG","Victor","Victor Oladipo","Oladipo","36.872222900390625","36","7100","IND@ATL","IND","ATL","O","Knee","","",""
"42354-12366","SF","Gordon","Gordon Hayward","Hayward","32.70666707356771","15","7000","BOS@CHI","BOS","CHI","","","","",""
"42354-9874","PF","Kevin","Kevin Love","Love","33.91379310344828","29","7000","OKC@CLE","CLE","OKC","","","","",""
"42354-23447","PF","Richaun","Richaun Holmes","Holmes","31.1028564453125","35","6900","NO@SAC","SAC","NO","","","","",""
"42354-17333","SF","Will","Will Barton","Barton","32.015625","32","6800","DEN@WAS","DEN","WAS","","","","",""
"42354-14503","C","Jonas","Jonas Valanciunas","Valanciunas","30.409374237060547","32","6700","MEM@LAC","MEM","LAC","","","","",""
"42354-15860","PF","Draymond","Draymond Green","Green","29.665384145883415","26","6600","DET@GS","GS","DET","","","","",""
"42354-84683","PF","Jaren","Jaren Jackson","Jackson","29.694116928998163","34","6500","MEM@LAC","MEM","LAC","","","","",""
"42354-23665","SG","Buddy","Buddy Hield","Hield","32.0028564453125","35","6400","NO@SAC","SAC","NO","","","","",""
"42354-66108","PG","Jamal","Jamal Murray","Murray","32.05294261259191","34","6300","DEN@WAS","DEN","WAS","","","","",""
"42354-12351","PF","Derrick","Derrick Favors","Favors","26.47222222222222","18","6200","NO@SAC","NO","SAC","","","","",""
"42354-23169","C","Steven","Steven Adams","Adams","31.264516522807458","31","6200","OKC@CLE","OKC","CLE","","","","",""
"42354-14501","C","Tristan","Tristan Thompson","Thompson","31.40909090909091","33","6200","OKC@CLE","CLE","OKC","","","","",""
"42354-110344","PG","Ja","Ja Morant","Morant","31.8344831795528","29","6200","MEM@LAC","MEM","LAC","","","","",""
"42354-42677","PG","Terry","Terry Rozier","Rozier","30.670271589949323","37","6100","CHA@DAL","CHA","DAL","","","","",""
"42354-40201","SG","Dennis","Dennis Schroder","Schroder","28.709091648910984","33","6100","OKC@CLE","OKC","CLE","","","","",""
"42354-41594","PF","Aaron","Aaron Gordon","Gordon","28.375862910829742","29","6000","UTA@ORL","ORL","UTA","","","","",""
"42354-14510","SF","Alec","Alec Burks","Burks","28.539393569483902","33","6000","DET@GS","GS","DET","","","","",""
"42354-23096","SG","Evan","Evan Fournier","Fournier","28.923530129825366","34","5900","UTA@ORL","ORL","UTA","","","","",""
"42354-9475","PG","Derrick","Derrick Rose","Rose","29.393104290140087","29","5900","DET@GS","DET","GS","","","","",""
"42354-80811","SF","Jonathan","Jonathan Isaac","Isaac","32.91875076293945","32","5900","UTA@ORL","ORL","UTA","O","Knee","","",""
"42354-18376","SG","Damion","Damion Lee","Lee","23.26818154074929","22","5900","DET@GS","GS","DET","","","","",""
"42354-67708","PG","Dejounte","Dejounte Murray","Murray","27.406667073567707","30","5800","SA@MIL","SA","MIL","O","Personal","","",""
"42354-58253","C","Myles","Myles Turner","Turner","27.411110206886573","27","5800","IND@ATL","IND","ATL","","","","",""
"42354-9637","SF","Danilo","Danilo Gallinari","Gallinari","28.886207317483837","29","5800","OKC@CLE","OKC","CLE","","","","",""
"42354-80812","PF","Lauri","Lauri Markkanen","Markkanen","28.222856794084823","35","5800","BOS@CHI","CHI","BOS","","","","",""
"42354-16230","SG","Jordan","Jordan McRae","McRae","21.370587517233457","17","5700","DEN@WAS","WAS","DEN","","","","",""
"42354-80806","PG","Lonzo","Lonzo Ball","Ball","26.657691368689903","26","5700","NO@SAC","NO","SAC","","","","",""
"42354-9662","SG","Lou","Lou Williams","Williams","31.566665187026516","33","5700","MEM@LAC","LAC","MEM","","","","",""
"42354-14543","PF","Davis","Davis Bertans","Bertans","26.949999128069198","28","5600","DEN@WAS","WAS","DEN","O","Quadriceps","","",""
"42354-9560","PF","Blake","Blake Griffin","Griffin","26.127777099609375","18","5600","DET@GS","DET","GS","O","Knee","","",""
"42354-9621","C","Brook","Brook Lopez","Lopez","27.33529483570772","34","5600","SA@MIL","MIL","SA","","","","",""
"42354-16359","PG","Malcolm","Malcolm Brogdon","Brogdon","34.466665762442126","27","5600","IND@ATL","IND","ATL","O","Back","","",""
"42354-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","28.903029933120266","33","5500","UTA@ORL","UTA","ORL","","","","",""
"42354-84676","C","Wendell","Wendell Carter","Carter","28.69142892020089","35","5500","BOS@CHI","CHI","BOS","GTD","Abdomen","","",""
"42354-84679","PF","Marvin","Marvin Bagley","Bagley","25.488888210720486","9","5500","NO@SAC","SAC","NO","O","Foot","","",""
"42354-15559","SG","Jeremy","Jeremy Lamb","Lamb","27.912501017252605","24","5500","IND@ATL","IND","ATL","","","","",""
"42354-9466","PG","D.J.","D.J. Augustin","Augustin","21.752940458409928","34","5500","UTA@ORL","ORL","UTA","","","","",""
"42354-23097","PG","Tomas","Tomas Satoransky","Satoransky","25.17428501674107","35","5400","BOS@CHI","CHI","BOS","","","","",""
"42354-12355","PG","Eric","Eric Bledsoe","Bledsoe","30.83571515764509","28","5400","SA@MIL","MIL","SA","","","","",""
"42354-14516","C","Enes","Enes Kanter","Kanter","23.02916717529297","24","5400","BOS@CHI","BOS","CHI","","","","",""
"42354-23823","C","Willie","Willie Cauley-Stein","Cauley-Stein","24.729031470514112","31","5400","DET@GS","GS","DET","GTD","Illness","","",""
